year,Unnamed: 0,commodity,Type,msprice,msp_filter
2016,134,cotton,Kharif Crops,3860.0,1
2016,135,cotton_long staple,Kharif Crops,4160.0,1
2016,136,gr.nut kernels,Kharif Crops,4120.0,1
2016,137,sunflower,Kharif Crops,3850.0,1
2016,138,soyabean_black,Kharif Crops,,1
2016,139,soyabean,Kharif Crops,2675.0,1
2016,140,sesamum,Kharif Crops,4800.0,1
2016,141,niger-seed,Kharif Crops,3725.0,1
2016,142,wheat(husked),Rabi Crops,,1
2016,143,wheat(unhusked),Rabi Crops,,1
2016,144,barli,Rabi Crops,,1
2016,145,gram_yellow,Rabi Crops,,1
2016,146,masur_yellow,Rabi Crops,,1
2016,147,mustard,Rabi Crops,,1
2016,148,safflower,Rabi Crops,,1
2016,149,toria_yellow,Rabi Crops,,1
2016,150,copra (milling)_yellow,Other Crops,5950.0,1
2016,151,copra (ball)_yellow,Other Crops,6240.0,1
2016,152,coconut,Other Crops,1600.0,1
2016,153,jute_yellow,Other Crops,3200.0,1
2016,154,sugarcane,Other Crops,230.0,1
